GIJÓN;AGUDA;GIJÓN-2;CAMINO DEL CURULLU, 71;CEPSA
GIJÓN;GIJON;GIJÓN-96;CARRETERA VIESQUES KM. S/N;REPSOL
GIJÓN;GIJON;GIJÓN-95;CARRETERA AS-248 KM. 20;REPSOL
GIJÓN;GIJON;GIJÓN-79;CARRETERA AS-247 KM. 1;WASHMAX
GIJÓN;GIJON;GIJÓN-80;CL SANTA DORADIA 22;REPSOL
GIJÓN;GIJON;GIJÓN-86;CALLE CARRETERA CARBONERA , (GASOLINERA), 52;REPSOL
GIJÓN;GIJON;GIJÓN-87;CALLE FERNANDEZ LADREDA, 45;REPSOL
GIJÓN;GIJON;GIJÓN-81;CALLE CARMEN, 24;REPSOL
GIJÓN;GIJON;GIJÓN-88;AVENIDA PORTUGAL, 44;REPSOL
GIJÓN;GIJON;GIJÓN-94;CALLE SEVERO OCHOA, 36;CEPSA
GIJÓN;GIJON;GIJÓN-93;AVENIDA CONSTITUCION, 105;CEPSA
GIJÓN;GIJON;GIJÓN-92;AVENIDA CONSTITUCION, 220;REPSOL
GIJÓN;GIJON;GIJÓN-69;AUTOPISTA AS -2 KM. 22;ALCAMPO
GIJÓN;GIJON;GIJÓN-71;CALLE NICOLAS COPERNICO, 311;EASYGAS
GIJÓN;GIJON;GIJÓN-72;POLIGONO DE ROCES, Nº 5 - CARRETERA CARBONERA,, 2230;LA COOPERATIVA
GIJÓN;GIJON;GIJÓN-67;AVENIDA ROCES, N;BALLENOIL
GIJÓN;GIJON;GIJÓN-84;CALLE GRAHAM BELL, 575;BP GIJON - CARBONERA
GIJÓN;MAREO DE ABAJO;GIJÓN-123;AUTOVIA AS-I KM. 37;CEPSA
GIJÓN;MAREO DE ABAJO;GIJÓN-122;CARRETERA AS-246 KM. 28,7;CEPSA
GIJÓN;GRANDA DE ABAJO;GIJÓN-102;CARRETERA AS-248 KM. 3,600;REPSOL
GIJÓN;GIJON;GIJÓN-77;AVENIDA DE LA ARGENTINA, S/N;GALP
GIJÓN;VERIÑA;GIJÓN-223;CARRETERA AS-19 KM. 4,4;REPSOL
CARREÑO;TAM ON;CARREÑO-206;AUTOVIA A-8 KM. 401,5;PETRONOR
CARREÑO;CARREÑO;CARREÑO-36;POLIGONO DE TABAZA II, PARCELA 28 (AS-110 km 7,8);AVIA
CARREÑO;CARREÑO;CARREÑO-38;VÍA AS-110, 7;BP - CARREÑO
CORVERA DE ASTURIAS;SILVOTA;CORVERA DE ASTURIAS-203;CARRETERA AVILES - GIJON KM. 12,500;VALCARCE (GHC )
CARREÑO;BARCA (LA);CARREÑO-21;LUGAR LA BARCA, S/N;ESOIL
CORVERA DE ASTURIAS;TRASMONTE;CORVERA DE ASTURIAS-216;COMPLEJO CENTRO COMERCIAL PARQUE ASTUR, S/N;REPSOL
CORVERA DE ASTURIAS;CORVERA DE ASTURIAS;CORVERA DE ASTURIAS-55;CARRETERA AS-19 KM. 19,4;CEPSA
CORVERA DE ASTURIAS;CAMPOS (LOS);CORVERA DE ASTURIAS-28;CARRETERA AS-17 KM. 3,5;GALP
AVILÉS;VILLALEGRE (AVILES);AVILÉS-227;CALLE SANTA APOLONIA, 161;REPSOL
AVILÉS;AVILES;AVILÉS-10;AVDA. CRISTOBAL COLÓN, S/N;SHELL
AVILÉS;AVILES;AVILÉS-19;TRAVESIA LOS CANAPES, 2;CEPSA
AVILÉS;LLARANES;AVILÉS-113;AVENIDA GIJON, 70;REPSOL
AVILÉS;AVILES;AVILÉS-9;CALLE ESTIBADORES, 1;BALLENOIL
AVILÉS;AVILES;AVILÉS-7;CALLE BUENAVISTA, 63;ZEPXA ECO
AVILÉS;AVILES;AVILÉS-13;CARRETERA AS-238 (PARQ. EMPRES. PRINCIPADO ASTURIAS KM. 0,8;REPSOL
AVILÉS;AVILES;AVILÉS-12;AVDA. DE LOS TELARES, 27 (N-632 km 94,4);CEPSA
AVILÉS;AVILES;AVILÉS-18;AVENIDA CONDE GUADALHORCE, 69;LA RÍA
AVILÉS;AVILES;AVILÉS-17;CALLE BUENAVISTA, 100;SHELL
AVILÉS;AVILES;AVILÉS-11;AVDA. DE SAN AGUSTÍN S/N;SHELL
AVILÉS;AVILES;AVILÉS-14;AVENIDA DE LUGO, 24;REPSOL
AVILÉS;AVILES;AVILÉS-16;AVENIDA DE LUGO, 50;PLENOIL
AVILÉS;AVILES;AVILÉS-15;TRAVESÍA TORNO DEL, 2;PETROPRIX AVILES